frame,object_id,object_type,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,window_index,window_start_frame,local_frame,sam3_track_id,text_prompt
0,soccer_ball_001,soccer_ball,807.437037037037,318.26666666666665,135,801,312,814,325,13,13,0,0,0,0,small orange ball
1,robot_001,robot,763.9552461461959,282.0870213823968,2011,736,247,791,308,55,61,0,0,1,0,robot
1,soccer_ball_001,soccer_ball,806.4520547945206,318.041095890411,146,800,312,814,325,14,13,0,0,1,0,small orange ball
2,robot_001,robot,762.3706326723324,281.4291784702549,2118,734,247,789,308,55,61,0,0,2,0,robot
2,soccer_ball_001,soccer_ball,805.0066666666667,318.24,150,799,312,812,326,13,14,0,0,2,0,small orange ball
3,robot_001,robot,759.0233426704015,281.82026143790847,2142,730,247,787,309,57,62,0,0,3,0,robot
3,soccer_ball_001,soccer_ball,802.9869281045752,318.06535947712416,153,797,312,810,325,13,13,0,0,3,0,small orange ball
4,robot_001,robot,752.778672985782,282.4744075829384,2110,724,248,781,309,57,61,0,0,4,0,robot
4,soccer_ball_001,soccer_ball,799.1468531468531,317.87412587412587,143,793,312,806,325,13,13,0,0,4,0,small orange ball
5,robot_001,robot,750.3868852459017,282.3728337236534,2135,722,247,778,309,56,62,0,0,5,0,robot
5,soccer_ball_001,soccer_ball,796.3924050632911,318.0886075949367,158,790,312,804,326,14,14,0,0,5,0,small orange ball
6,robot_001,robot,747.6611374407582,282.4829383886256,2110,720,248,775,309,55,61,0,0,6,0,robot
6,soccer_ball_001,soccer_ball,793.7183098591549,317.9154929577465,142,788,312,801,325,13,13,0,0,6,0,small orange ball
7,robot_001,robot,745.6869976359338,282.30827423167847,2115,718,248,773,309,55,61,0,0,7,0,robot
7,soccer_ball_001,soccer_ball,790.5065789473684,317.5657894736842,152,784,311,797,325,13,14,0,0,7,0,small orange ball
8,robot_001,robot,744.8384945212006,282.2982372558361,2099,717,247,772,309,55,62,0,0,8,0,robot
8,soccer_ball_001,soccer_ball,789.2745098039215,317.5359477124183,153,783,311,796,325,13,14,0,0,8,0,small orange ball
9,robot_001,robot,738.8306930693069,283.0306930693069,2020,711,248,766,309,55,61,0,0,9,0,robot
9,soccer_ball_001,soccer_ball,782.046052631579,317.07236842105266,152,776,311,790,324,14,13,0,0,9,0,small orange ball
