frame,local_frame,window_index,window_start_frame,object_type,text_prompt,sam3_track_id,x,y,area,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height
1122,2,70,1120,robot,robot,0,401.7228808535863,452.75207468879665,6748,369,386,454,510,85,124
1123,3,70,1120,robot,robot,0,403.0960057061341,452.8472182596291,7010,369,387,457,511,88,124
1124,4,70,1120,robot,robot,0,404.14447201543976,452.65315687896333,7254,369,388,460,511,91,123
1125,5,70,1120,robot,robot,0,404.90764288582517,452.7978851559363,7471,369,388,461,510,92,122
1126,6,70,1120,robot,robot,0,406.01342455143924,453.7342196979476,7747,369,388,463,511,94,123
1127,7,70,1120,robot,robot,0,408.8673420738975,454.265315852205,8390,369,388,468,513,99,125
1128,8,70,1120,robot,robot,0,410.1373921156986,455.2076043853511,8574,369,390,471,514,102,124
1129,9,70,1120,robot,robot,0,411.36633321835114,455.64068069449235,8697,369,390,472,514,103,124
1130,10,70,1120,robot,robot,0,412.62415881561236,456.3396141767609,8916,369,391,474,514,105,123
1131,11,70,1120,robot,robot,0,415.0816546375094,456.812345147043,9283,369,391,478,515,109,124
1132,12,70,1120,robot,robot,0,416.2744030163385,457.0970883954755,9548,369,390,479,517,110,127
1133,13,70,1120,robot,robot,0,418.26826689224913,456.7538331394734,9457,369,391,481,515,112,124
1134,14,70,1120,robot,robot,0,420.07511637748627,455.4688954718578,9452,369,390,484,514,115,124
1135,15,70,1120,robot,robot,0,420.9283366903424,453.97657161030423,9433,369,390,485,512,116,122
1120,0,70,1120,soccer_ball,small orange ball,0,600.1879131255902,627.6336166194524,1059,584,607,616,650,32,43
1121,1,70,1120,soccer_ball,small orange ball,0,601.9111514052584,629.3309156844969,1103,586,608,618,652,32,44
1122,2,70,1120,soccer_ball,small orange ball,0,603.9623797025372,630.4015748031496,1143,588,609,620,653,32,44
1123,3,70,1120,soccer_ball,small orange ball,0,606.9896373056995,630.0008635578583,1158,592,608,623,653,31,45
1124,4,70,1120,soccer_ball,small orange ball,0,610.2128583840139,627.9409209383145,1151,595,606,627,651,32,45
1125,5,70,1120,soccer_ball,small orange ball,0,613.7304347826087,625.2156521739131,1150,598,603,630,648,32,45
1126,6,70,1120,soccer_ball,small orange ball,0,617.554116558742,621.0601295097132,1081,602,600,634,643,32,43
1127,7,70,1120,soccer_ball,small orange ball,0,613.3274111675127,614.3553299492386,394,606,596,623,632,17,36
1130,10,70,1120,soccer_ball,small orange ball,0,597.068100358423,592.6953405017921,279,592,576,603,610,11,34
1131,11,70,1120,soccer_ball,small orange ball,0,596.1038961038961,579.2038961038961,770,584,561,608,601,24,40
1132,12,70,1120,soccer_ball,small orange ball,0,593.9122562674095,570.8509749303621,718,581,554,608,588,27,34
1133,13,70,1120,soccer_ball,small orange ball,0,591.0595382746051,565.5941676792223,823,578,547,604,586,26,39
1134,14,70,1120,soccer_ball,small orange ball,0,588.6644204851752,558.3921832884097,742,575,542,602,577,27,35
1135,15,70,1120,soccer_ball,small orange ball,0,584.0472878998609,546.278164116829,719,571,530,598,564,27,34
